Domains and Topics,Description,Short description,Unfamiliar,Remember,Understand,Apply,Analyse,Evaluate,Create,N/A
2.6 Specimen Quality Control (QC),"Specimen Quality Control (QC) involves assessing the quality and integrity of biological samples to ensure their suitability for downstream applications such as microbiological testing, molecular diagnostics, and sequencing. This topic focuses on methods for evaluating critical quality attributes, including the viability of microorganisms, the integrity and purity of nucleic acids, and the absence of contaminants or inhibitors. Key areas include the use of analytical tools like spectrophotometry, fluorometry, gel electrophoresis, and microbial culture techniques to assess sample adequacy. It also emphasises the importance of implementing quality checkpoints during collection, transport, storage, and preparation to minimize degradation and variability. Specimen QC is essential to ensure reliability, reproducibility, and accuracy of results.","Methods for  ensuring that  biological samples meet the required standards for accurate and reliable testing in microbiology, molecular diagnostics, and genomics.",,Recall the key parameters and methods used to assess the quality of samples from collection to sequencing.(K),Explain the importance of specimen quality control in ensuring reliable and reproducible results for pathogen detection and downstream genomic applications. (K),Apply appropriate QC methods to evaluate and validate the quality of biological specimens for testing or genomic analysis.(S),"Interpret QC results to ensure sample quality and suitability for microbiological, molecular, or genomic workflows.(S)
",Critique the adequacy of a QC protocols in ensuring the reliability and consistency of sample analysis.(S),"Design a robust QC workflow tailored to the specific requirements of microbiological, molecular, or genomic analyses.(K)",
2.7 Linking samples to data,"Linking samples to data involves establishing and maintaining accurate connections between biological specimens, their associated metadata, and the results generated from microbiological, molecular, and genomic analyses. This topic focuses on methods for ensuring traceability and integrity throughout the data generation pipeline, from sample collection to final analysis. Learners will explore strategies for using unique sample identifiers, integrating laboratory information management systems (LIMS), and adhering to data management standards to ensure reproducibility and accountability. Emphasis is on the  importance of linking samples to data in clinical, research, and public health contexts, facilitating data sharing, collaborative studies, and informed decision-making.","Addresses the importance and provides approaches of accurately linking biological samples to metadata and results in microbiological, molecular, and genomic workflows.",,Recall the approaches and metadata fields used for linking samples to their associated data and results.(K),"Explain the importance of sample-data linkage for ensuring data traceability, reproducibility, and collaborative (genomic) data analysis.(K)","Use bioinformatics tools or databases (e.g., LIMS, sequencing platforms) to associate samples with corresponding (genomic) data.(S)","Review linked metadata and tracking systems to identify potential gaps and inconsistencies in linking specimens with their data. (K, S)","Assess the robustness and compliance of data linkage and management workflows and practices to ensure samples are accurately linked to their results. (K,S)","Design a comprehensive framework for linking samples to data, ensuring traceability and reproducibility in microbiological, molecular, and genomic analyses.(S)",
3. Sample Analysis and Genomic Data Generation,"End-to-end laboratory and analytical processes involved in transforming pathogen samples into high-quality genomic data. It brings together foundational and advanced techniques that underpin genomic investigations, and includes microbiological and molecular approaches  ensuring that samples meet the quality requirements for downstream applications.","
",,,,,,,,
3.1 Microbiological methods and techniques,"Foundational microbiological methods and techniques used to isolate, identify, and study microorganisms. It includes traditional techniques such as culturing, staining, microscopy, biochemical assays, and advanced approaches like microbial quantification and susceptibility testing. emphasis is placed on aseptic techniques, media preparation, and microbial growth conditions to ensure accurate results. These methods are essential for characterising microbial diversity, detecting pathogenic organisms, supporting diagnostics, providing critical insights into response to antimicrobial agents.
","Techniques for isolating and identifying microorganisms  using classical and modern microbiological methods such as  culturing, microscopy, and biochemical techniques.",,"Recall key microbiological methods and techniques for culturing, typing, and susceptibility testing (K)","Describe the steps and purposes of culturing microorganisms, typing methods, and susceptibility testing (K)
","Perform microbiological techniques such as culturing microorganisms, typing, and testing for antimicrobial resistance. (S)","Interpret results from culturing, typing, and susceptibility tests to determine microbial identity and resistance. (S)","Evaluate test accuracy and reliability through quality control, assessing strengths and limitations of different microbiological methods.(K)",Create protocols to improve accuracy and efficiency in microbial analysis for specific research or clinical needs.(K),
3.2 Sample QC for sequencing,"Quality control (QC) processes covering specific standards and protocols used to assess nucleic acid integrity, concentration (yield), and levels of contamination prior to sequencing, ensuring samples meet platform-specific requirements that are essential for generating high-quality sequencing data. Learners will review methods such as fluorometric quantification, electrophoretic profiling (e.g., TapeStation, Bioanalyzer), and spectrophotometric ratios, and will understand explore the implications of sample degradation or contamination on sequencing success. The topic also introduces QC measures applied to sequencing libraries, such as size distribution analysis, adapter dimers, and library multiplexing balance, which are critical for achieving even data distribution across samples in high-throughput sequencing runs. Familiarity with QC indicators(3) enables learners to maintain consistency and reliability in genomics workflows.","Sequencing-specific QC to assess DNA integrity, yield, and library balance for high-quality data generation.",,"Recall standards and protocols for QC testing of DNA integrity, yield, and library multiplex balancing (K)",Describe the processes and methods used for QC testing of biological material for genome sequencing and explain their importance.(K),"Perform QC testing such as measuring DNA integrity, quantifying yield, and assessing library balance to ensure biological sample quality for sequencing methodologies (S)","Interpret QC metrics to ensure that sample material meets quality standards for sequencing. (K,S) ",Critique the accuracy of QC testing methods and evaluate the strengths and limitations of techniques for ensuring DNA quality and yield.(K),Design solutions to address common issues and optimize the preparation of high-quality samples for sequencing.(K),
3.3 Molecular-based techniques,"Molecular-based techniques are essential tools for detecting and analysing biological molecules such as DNA, RNA, and proteins. This topic covers commonly used methods including polymerase chain reaction (PCR), quantitative PCR (qPCR), reverse transcription PCR (RT-PCR), and hybridization techniques. Learners also explore modern tools such as CRISPR, isothermal amplification, and microarrays, which enhance sensitivity and specificity in pathogen detection, genotyping, and molecular profiling. These techniques are widely applied in diagnostics, surveillance, and research.","Molecular approaches  used to detect, amplify, and analyse pathogen genetic material.",,Recall fundamental principles and terminology related to molecular-based techniques (K),Describe the processes and applications of various molecular techniques for detecting and analysing pathogen samples(K),Perform standard molecular assays for pathogen detection and analysis. (S),Interpret data generated from molecular techniques to characterise specific pathogens (S),"Critique the accuracy and reliability of molecular techniques in pathogen genomics, evaluating their strengths and limitations for diagnostics and epidemiology.(K)","Design advanced molecular protocols to diagnose diseases, identify resistance genes, and guide public health. (K)",
3.4 Genome sequencing,"End-to-end laboratory workflow approaches used to generation raw sequence data from nucleic acid samples. It includes an overview of different sequencing platforms (e.g., Illumina, Nanopore), their capabilities, and their suitability for different applications. Learners will examine the steps involved in library preparation, sequencing runs, and initial quality control. The focus is on understanding the principles of high-throughput sequencing and how choices made during sequencing setup impact data quality, coverage, and downstream analysis. This knowledge is essential for interpreting outputs and troubleshooting experimental protocols in genomics labs.","Methods and applications of genome sequencing, including workflows and platforms.",,Recall the basics and terminology of genome sequencing methods and technologies. (K),"Describe genome sequencing methods, workflows, strengths, and limitations.(K)","Use genome sequencing technologies to generate data, implementing protocols for sample preparation, library construction, and sequencing. (S)","Select the best sequencing methods for applications, and examine output quality (K)","Critique sequencing methods for accuracy, throughput, cost, and suitability, identifying strengths and limitations in research and healthcare (K)",Design experimental workflows using advanced sequencing technologies (S),
3.5 Clinical diagnostics,"Workflows for detecting, identifying, and characterising infectious agents in patient samples to support evidence-based clinical decision-making from sample collection, laboratory methods to  integration of quality control, turnaround time, data interpretation, and reporting within a diagnostic workflow. Additionally, the topic highlights the growing importance of standardised workflows, automation, and clinical bioinformatics in improving the speed, reliability, and clinical utility of diagnostic outputs across diverse healthcare settings.  Learners will explore how diagnostic strategies are selected based on clinical context, pathogen type, and urgency, ensuring that results are timely, accurate, and actionable.","Integrated diagnostic workflows combining microbiological and genomic methods to support accurate, timely detection and characterisation of pathogens in clinical care.",,"List microbiological, molecular or genomic techniques used for clinical diagnostics of specific pathogens.(K)",Explain the role of various diagnostic techniques in identifying specific pathogens and guiding clinical decisions. (K),Utilise appropriate diagnostic methods to identify pathogens and for effective disease management (S),Analyse diagnostic results to interpret pathogen characteristics to inform treatment and downstream management.(S),"Assess the applicability of diagnostic tools in various clinical scenarios (K,S).","Design a diagnostic workflow tailored to specific clinical needs, integrating appropriate microbiological, molecular and genomic approaches.(S)",
"4. Genomic Data Workflows, Analysis and Integration","Methods used to process,  refine raw genomic information, analysis and integration with other datasets  support various applications.",,,,,,,,,
4.1 Genomic data repositories,"Genomic data repositories in pathogen genomics are specialised databases that store, manage, and provide access to genomic data related to pathogens. They consist of standardised pathogen genomic data, structured organisation with sample metadata integration, open and controlled access, standardised submission and curation, multi-omics integration, and tools and resources for data analysis. These repositories facilitate comprehensive data analysis and integration while adhering to appropriate ethical and data-sharing principles. ","Specialised databases that store, manage, and provide access to pathogen genomic data, supporting comprehensive analysis and integration while adhering to standardised practices, ethics, and data-sharing principles.",,"List specific pathogen genomic data repositories relevant for routine applications in research, patient management and public health (K).",Outline how genomic data repositories can be used and summarise the benefits of these in pathogen genomics  Describe the key functions of genomic data repositories and their importance for data analysis and integration.(K).,"Utilise data  repositories relevant to pathogen genomics . Use genomic repositories to manage, integrate, and analyse pathogen data. (S)",Maintain data  repositories relevant to pathogen genomics to comply with applicable data standards.  Interpret the results obtained from genomic data analysis using repository tools.(S),Evaluate data repositories relevant to pathogen genomics including compliance with applicable data standards (S),"Design and improve data repositories relevant to pathogen genomics ensuring compliance with applicable data standards (K,S).",
"4.2 Genomic data analysis methods, tools and software","Foundational principles, tools and techniques involved in pathogen genomic data analysis emphasising bioinformatics software, statistical models, and computational approaches. It covers key bioinformatics tools, alongside the algorithms and methods used for sequence alignment, variant calling,  genome assembly, gene and allelic annotation, phylogenetic analysis, and functional annotation. The primary focus is on understanding and applying individual tools and methods, rather than assembling them into complete analytical workflows. Scientists working in this area develop expertise in selecting the right computational tools to analyse specific datasets.","Tools and methods emphasising individual software, statistical models, and computational approaches rather than full workflows.",,"Identify key bioinformatics tools, algorithms, and software used in pathogen genomic data analysis, including their core functions and applications.(K)","Discuss commonly used methods, tools and software for pathogen genomics data (K)","Implement appropriate tools to analyse pathogen genomic data, ensuring correct application of methods for sequence processing, variant identification, and annotation (S)","Interpret the outputs of different analytical methods and software in pathogen genomics, assessing their computational approaches, strengths, and limitations..
(K)","Evaluate the effectiveness and suitability of pathogen genomics analysis methods and software by assessing their accuracy, reproducibility, and computational efficiency. Justify their application for specific questions.(K)","Design and implement an optimised bioinformatics workflow or tool to enhance pathogen genomic analysis, addressing gaps in current methodologies and improving their efficiency in various applications(S)",
4.3 Genomic data analysis workflow development,"Involves design and execution of structured workflows for step-by step pathogen genomic data analysis, enabling efficient and reproducible processing of sequencing data. It includes step-by-step approaches covering quality control, management of key file formats such as FASTQ, BAM, and VCF, and the progression from raw reads to variant calling, annotation, and interpretation. Workflow management systems like Nextflow, Snakemake, and Galaxy are highlighted for their role in automating and standardising complex analyses. Learners will develop an understanding of how to build scalable and maintainable pipelines that ensure consistency, efficiency, and traceability in genomic research and public health applications.","Development of automated workflows and pipelines for processing, analysing, and interpreting pathogen sequence data efficiently and reproducibly.",,"Recognize the key steps in pathogen genomic data workflows, including file formats (FASTQ, BAM, VCF), sequence processing, and quality control. (K). ",Explain automated workflow steps in pathogen genomic sequence data analysis workflows. (K),"Execute a pathogen genomic data analysis pipeline, performing data preprocessing, quality control and analysis. (S)","Examine outputs of a genomic workflow to ensure data accuracy, quality and reliability (K,S)","Evaluate the scalability, performance, and applicability of pathogen genomics workflows in different contexts (e.g. outbreak response, antimicrobial resistance tracking, and genomic epidemiology)(K). ","Develop a customized, automated pathogen genomics workflow that integrates multiple tools and ensures reproducibility, scalability, and high-quality output   (K,S).",
4.4 Statistical analysis,"This topic focuses on the application of statistical methods to analyse and interpret genomic data in the context of infectious disease research and public health. It introduces foundational principles such as data variability, probability, distributions, hypothesis testing, and statistical modelling, and explains how these tools are used to identify genomic variants, infer evolutionary relationships, and detect transmission patterns. Learners will also explore the role of statistical approaches in analysing antimicrobial resistance (AMR), investigating outbreaks, and informing vaccine design. Emphasis is placed on integrating genomic, epidemiological, and clinical datasets to generate robust, interpretable insights that support real-time surveillance and evidence-based decision-making in pathogen genomics.","Statistical tools used to analyse pathogen genomic data and uncover patterns in evolution, resistance, and disease spread.",,Recall foundational statistical methods used in pathogen genomics (e.g. regression analysis and hypothesis testing) (K),"Describe key statistical methods including data quality control, normalization, summary metrics and explain their importance in genomic data analysis (K). ",Apply appropriate metrics and methods to genomic data to discover and visualise patterns (K), Examine statistical outputs to interpret genomic data and identify trends (K),"Recommend and evaluate statistical methods for pathogen genomics, addressing limitations and suggesting improvements to genomic data analysis (K)","Design statistical workflows to analyse and integrate genomic and epidemiological data for infectious diseases (K,S)",
4.5 Phylogenetics,"This topic introduces the principles, methods, and computational tools used to construct phylogenetic trees from pathogen genomic data. It covers the full analytical workflow, including sequence alignment, model selection, and tree-building approaches such as maximum likelihood and Bayesian inference. Learners will gain an understanding of how to choose appropriate phylogenetic methods based on the characteristics of the dataset",Analytical methods and computational workflows used to construct phylogenetic trees from genomic data,,Define phylogenetics and list the key steps and tools used in phylogenetic analysis workflows (K),Explain the principles behind phylogenetic tree construction and model selection (K),Apply phylogenetic analysis methods to construct trees from aligned genomic data (S),Analyse how alignment quality and model choice affect the reliability of phylogenetic trees (K),Assess the accuracy and robustness of a phylogenetic tree in representing evolutionary relationships (K),"Design a workflow for constructing phylogenetic trees tailored to specific genomic datasets (K,S)",
4.6 Phylogeography,"Phylogeography combines phylogenetic analysis with geographic data to study the spatial and temporal distribution of pathogen genetic lineages. This topic explores how evolutionary relationships are mapped onto geographic landscapes to uncover patterns of pathogen migration, dispersal, and regional diversification. Learners will examine how genomic data are integrated with spatial metadata to reconstruct the origins, transmission routes, and introduction events of pathogens across different populations and locations. Phylogeographic approaches can inform key public health questions—such as where a pathogen emerged, whether it is endemic or introduced, and how frequently it has spread across regions. The topic includes discussion of relevant concepts such as genetic structure, migration, founder effects, and spatiotemporal inference methods. By situating genomic data in a geographic context, phylogeography provides valuable insights for outbreak investigation, surveillance, and disease control strategies.","Combines genomic and geographic data to trace the origin, spread, and evolution of pathogens across regions.",,Define phylogeography terminology and methods used in research and public health (K).,"Explain phylogeographic approaches, methods and tools used to understand evolution and spread or pathogens and disease in a geographical context (K).","Use phylogeographic methods on pathogen genomic data to track emergence, spread, and evolution.(S).","Analyse genomic data with phylogeographic methods to determine pathogen evolution and geographic distribution, and study factors affecting their spread. (S).","Evaluate the quality and relevance of phylogeographic data and methods, validating findings for various applications. (K)"," Innovate phylogeographic methods to enhance understanding the emergence, spread, and evolution of pathogens (K)",
4.7 Phylodynamics,"Phylodynamics is the quantitative integration of evolutionary biology, epidemiology, and statistical inference to extract transmission and demographic signals from time-stamped pathogen genome sequences. Using substitution models, molecular clocks (strict or relaxed), and population or transmission process models (e.g., coalescent skyline, birth–death/serial sampling, structured/phylogeographic models), practitioners infer parameters such as time to the most recent common ancestor, evolutionary rate, effective population size trajectories, introduction/export events, and the effective reproduction number over time. Competent practice entails end-to-end rigor: curating aligned genomes with reliable sampling dates and metadata; checking temporal signal, recombination, and contamination; selecting appropriate priors and model structures; fitting models via Bayesian or likelihood methods; and diagnosing convergence, identifiability, and sensitivity to assumptions. Outputs (e.g., skyline plots, Rt estimates, lineage persistence, migration rates) are translated into actionable insights for surveillance and outbreak response, clarifying whether growth is driven by importations or local transmission, when lineages emerged, how interventions altered spread, which settings sustain transmission, and where to target resources. Interpretation requires explicit uncertainty quantification (credible intervals, alternative model fits), transparent reporting, and careful communication to avoid over-attributing individual-level transmission. Ethical considerations include privacy risks when reconstructing transmission histories and the responsible use of linked clinical/epidemiological data. In a competency context, phylodynamics emphasizes interpreting model outputs for public health decision-making while cross-referencing advanced analytical skills for model fitting and workflow reproducibility.","Application of evolutionary and epidemiological models to pathogen sequence data to infer population dynamics, transmission patterns, and epidemic history.",,"Recall the fundamental concepts underlying phylodynamics, including molecular clocks, coalescent theory, and models of epidemic growth.(K)","Explain how pathogen sequence data can be used to infer transmission dynamics, population size changes, and epidemic spread.(K)",Use established phylodynamic software tools to analyse sequence data and generate estimates of evolutionary and epidemiological parameters.(S),"Critically evaluate phylodynamic models, comparing outputs across different parameter settings or models to identify potential biases or limitations.(K)","Assess the validity and applicability of phylodynamic inferences in the context of surveillance and outbreak response, considering data quality, sampling bias, and model assumptions.(K)","Design and implement a phylodynamic study, selecting appropriate models and datasets to address specific research or public health questions, and effectively communicate findings to scientific and policy audiences.(K,S)",
4.8 Metagenomics,"Metagenomics is the study of genetic material recovered directly from environmental, clinical, or other complex biological samples, enabling the analysis of entire microbial communities without the need for prior culturing. This topic introduces the theoretical principles and analytical methods underpinning metagenomics, including microbial diversity profiling, taxonomic classification, and functional gene annotation. In the context of infectious diseases, metagenomics allows for the simultaneous detection and characterisation of bacteria, viruses, fungi, and parasites within a single sample. The topic highlights key applications in diagnostics, outbreak investigation, antimicrobial resistance (AMR) surveillance, and the study of pathogen evolution and emergence. Emphasis is placed on the advantages and challenges of metagenomic approaches.",Genomic analysis of mixed microbial communities in clinical or environmental samples without prior culturing.,,Recall the foundational principles and key terms related to metagenomics and define appropriate data types suitable for metagenomics (K),Explain the role of metagenomics in providing insights into microbial diversity and functional potential across diverse sample types. (K),Use metagenomic tools to analyse microbial communities in various samples. (S) ,"Interpret metagenomic data to identify patterns in microbial diversity, resistance, or functional relevance (S)","Assess the suitability and limitations of metagenomic approaches for different research, clinical or public health questions (K)","Design metagenomic workflows tailored to specific research or surveillance objectives. (K,S)",
"4.9 Integration of epidemiological, laboratory, and genomic data","This topic focuses on the integration of epidemiological, laboratory, and genomic data to enable comprehensive analysis and improved decision-making in the context of infectious diseases. It explores how data from multiple sources such as population-level surveillance, clinical diagnostics, and pathogen genome sequencing can be combined to generate a more complete picture of disease dynamics. Epidemiological data provide insight into transmission patterns, case demographics, and population-level trends; laboratory data offer diagnostic results, resistance profiles, and subtyping information; and genomic data contribute high-resolution details on pathogen evolution, variants, and genetic relationships. Learners will examine methods and frameworks for integrating these datasets to enhance surveillance systems, improve outbreak detection and response, inform treatment strategies, and support public health policy.
","Combining epidemiological, laboratory, and genomic data to strengthen surveillance, outbreak response, and public health decision-making.",,"List methods to integrate epidemiological, laboratory and genomic data in pathogen genomics in healthcare (K)","Describe the processes and techniques for integrating epidemiological, laboratory, and genomic data, highlighting the significance of each step.(K)","Implement appropriate methods and tools to effectively integrate epidemiological, laboratory, and genomic data. (K,S)","Review results from combining epidemiological, laboratory, and genomic data.(K)
","Evaluate methods for integrating epidemiological, laboratory, and genomic data and identifying areas for improvement.(K)","Develop and adapt methods to integrate and derive inferences from epidemiological, laboratory, and genomic data to enhance infectious disease tracking, prevention, and control.(K)",
5. Data Interpretation,Data interpretation bridges analysis and decision-making by tanslating  genomic data into actionable insights.,,,,,,,,,
